FRAME,DIHEDROS
1077,-127.215
1078,-128.114
1079,-125.203
1080,-133.435
1081,-122.503
1082,-136.599
1083,-125.106
1084,-119.555
1085,-124.326
1086,-115.584
1087,-128.579
1088,-125.883
1089,-118.606
1090,-127.367
1091,-123.781
1092,-109.435
1093,-131.397
1094,-119.739
1095,-123.807
1096,-124.273
1097,-125.56
1098,-124.208
1099,-116.01
1100,-97.138
1101,-105.633
1102,-125.557
1103,-141.793
1104,-108.104
1105,-132.348
1106,-110.361
1107,-128.125
1108,-121.524
1109,-119.587
1110,-128.166
1111,-125.217
1112,-121.92
1113,-130.181
1114,-118.785
1115,-119.191
1116,-104.229
1117,-99.614
1118,-126.723
1119,-121.162
1120,-131.538
1121,-129.617
1122,-120.16
1123,-132.49
1124,-128.153
1125,-112.818
1126,-125.412
1127,-123.732
1128,-109.985
1129,-102.194
1130,-134.634
1131,-133.575
1132,-124.761
1133,-117.064
1134,-140.88
1135,-120.255
1136,-134.673
1137,-127.371
1138,-141.016
1139,-121.798
1140,-112.614
1141,-127.355
1142,-123.994
1143,-115.877
1144,-142.046
1145,-125.369
1146,-116.077
1147,-137.283
1148,-137.653
1149,-117.586
1150,-115.729
1151,-120.083
1152,-136.266
1153,-134.93
1154,-146.809
1155,-121.76
1156,-127.355
1157,-126.231
1158,-132.172
1159,-129.37
1160,-101.323
1161,-120.887
1162,-129.755
1163,-130.924
1164,-132.499
1165,-148.95
1166,-142.693
1167,-131.186
1168,-131.455
1169,-113.03
1170,-120.996
1171,-118.269
1172,-115.964
1173,-115.373
1174,-103.875
1175,-137.62
1176,-118.313
1177,-122.645
1178,-153.044
1179,-117.64
1180,-129.966
1181,-132.879
1182,-129.442
1183,-102.276
1184,-113.671
1185,-118.344
1186,-107.179
1187,-118.251
1188,-108.36
1189,-117.42
1190,-128.275
1191,-118.328
1192,-120.347
1193,-131.996
1194,-120.626
1195,-133.334
1196,-104.96
1197,-121.31
1198,-119.655
1199,-140.431
1200,-133.497
1201,-114.991
1202,-110.204
1203,-115.95
1204,-124.559
1205,-120.926
1206,-119.124
1207,-116.792
1208,-131.39
1209,-123.768
1210,-114.257
1211,-117.833
1212,-140.407
1213,-129.042
1214,-132.462
1215,-122.594
1216,-109.601
1217,-115.209
1218,-137.264
1219,-133.269
1220,-121.898
1221,-131.002
1222,-121.804
1223,-127.273
1224,-111.936
1225,-124.637
1226,-115.092
1227,-138.18
1228,-125.953
1229,-136.991
1230,-132.388
1231,-121.52
1232,-111.931
1233,-152.836
1234,-152.584
1235,-123.942
1236,-126.284
1237,-120.372
1238,-120.81
1239,-140.86
1240,-116.71
1241,-132.548
1242,-137.909
1243,-131.237
1244,-110.788
1245,-114.144
1246,-125.046
1247,-122.254
1248,-128.818
1249,-135.986
1250,-119.122
1251,-137.742
1252,-115.716
1253,-120.042
1254,-127.518
1255,-132.809
1256,-128.566
1257,-117.508
1258,-124.528
1259,-104.486
1260,-130.758
1261,-123.977
1262,-114.927
1263,-120.988
1264,-123.85
1265,-146.211
1266,-135.824
1267,-136.327
1268,-122.282
1269,-123.339
1270,-131.28
1271,-141.267
1272,-133.626
1273,-119.018
1274,-122.692
1275,-111.351
1276,-138.763
1277,-126.653
1278,-130.623
1279,-130.807
1280,-132.618
1281,-130.489
1282,-137.924
1283,-117.27
1284,-122.52
1285,-131.9
1286,-130.869
1287,-115.266
1288,-119.071
1289,-129.64
1290,-134.491
1291,-129.104
1292,-113.585
1293,-123.958
1294,-116.132
1295,-140.498
1296,-118.782
1297,-112.319
1298,-131.323
1299,-127.672
1300,-124.237
1301,-121.045
1302,-119.12
1303,-120.152
1304,-137.397
1305,-123.7
1306,-117.667
1307,-115.293
1308,-123.187
1309,-134.875
1310,-139.991
1311,-124.585
1312,-121.39
1313,-138.111
1314,-123.364
1315,-122.82
1316,-111.907
1317,-116.152
1318,-123.291
1319,-122.286
1320,-129.246
1321,-125.6
1322,-117.427
1323,-121.813
1324,-113.855
1325,-125.221
1326,-106.589
1327,-120.59
1328,-143.531
1329,-125.692
1330,-110.126
1331,-119.435
1332,-129.135
1333,-106.283
1334,-129.951
1335,-134.191
1336,-131.873
1337,-113.494
1338,-122.031
1339,-127.469
1340,-123.106
1341,-121.789
1342,-99.229
1343,-132.537
1344,-138.914
1345,-129.184
1346,-108.307
1347,-134.293
1348,-122.444
1349,-133.297
1350,-116.998
1351,-108.595
1352,-133.649
1353,-125.02
1354,-122.984
1355,-125.123
1356,-125.261
1357,-131.872
1358,-120.299
1359,-119.0
1360,-116.434
1361,-115.596
1362,-133.229
1363,-126.682
1364,-131.279
1365,-119.477
1366,-128.088
1367,-139.625
1368,-147.22
1369,-127.499
1370,-119.336
1371,-117.261
1372,-135.483
1373,-114.813
1374,-97.045
1375,-118.061
1376,-120.918
1377,-118.502
1378,-126.123
1379,-133.889
1380,-118.5
1381,-129.261
1382,-103.697
1383,-116.274
1384,-128.2
1385,-128.29
1386,-114.005
1387,-122.802
1388,-117.694
1389,-123.149
1390,-130.38
1391,-121.356
1392,-106.903
1393,-132.039
1394,-132.823
1395,-140.812
1396,-128.868
1397,-114.247
1398,-128.462
1399,-123.022
1400,-126.951
1401,-118.127
1402,-112.964
1403,-115.574
1404,-108.712
1405,-132.89
1406,-126.075
1407,-99.758
1408,-118.866
1409,-130.393
1410,-104.788
1411,-118.141
1412,-133.78
1413,-108.261
1414,-110.865
1415,-129.096
1416,-104.548
1417,-102.907
1418,-112.38
1419,-125.12
1420,-104.621
1421,-111.67
1422,-122.883
1423,-108.233
1424,-112.727
1425,-133.733
1426,-129.304
1427,-127.179
1428,-132.952
1429,-116.105
1430,-103.989
1431,-126.942
1432,-122.852
1433,-119.753
1434,-135.107
1435,-133.306
1436,-125.249
1437,-113.164
1438,-105.234
1439,-114.995
1440,-113.255
1441,-127.71
1442,-122.969
1443,-121.784
1444,-99.172
1445,-109.874
1446,-116.277
1447,-120.771
1448,-121.16
1449,-122.82
1450,-117.9
1451,-110.489
1452,-138.959
1453,-114.038
1454,-118.794
1455,-139.273
1456,-120.806
1457,-122.916
1458,-127.439
1459,-113.984
1460,-120.234
1461,-121.85
1462,-112.068
1463,-110.07
1464,-144.629
1465,-109.589
1466,-123.279
1467,-106.833
1468,-129.144
1469,-111.398
1470,-120.79
1471,-138.604
1472,-124.342
1473,-125.591
1474,-124.846
1475,-109.56
1476,-130.657
1477,-127.695
1478,-113.528
1479,-129.418
1480,-129.553
1481,-132.228
1482,-118.595
1483,-132.866
1484,-119.846
1485,-106.246
1486,-121.202
1487,-122.712
1488,-126.355
1489,-139.567
1490,-107.492
1491,-113.859
1492,-136.122
1493,-115.674
1494,-109.263
1495,-118.91
1496,-143.807
1497,-134.362
1498,-122.908
1499,-127.308
1500,-106.947
1501,-123.535
1502,-113.685
1503,-125.074
1504,-117.581
1505,-106.85
1506,-106.679
1507,-138.522
1508,-135.459
1509,-123.688
1510,-143.794
1511,-118.509
1512,-104.314
1513,-111.238
1514,-118.677
1515,-115.85
1516,-103.17
1517,-122.609
1518,-133.724
1519,-123.706
1520,-115.852
1521,-124.946
1522,-138.209
1523,-117.724
1524,-123.478
1525,-115.721
1526,-128.785
1527,-123.036
1528,-132.755
1529,-131.829
1530,-119.328
1531,-99.125
1532,-119.666
1533,-122.954
1534,-117.548
1535,-126.364
1536,-125.408
1537,-130.454
1538,-135.219
1539,-114.657
1540,-116.165
1541,-127.057
1542,-116.537
1543,-106.99
1544,-115.003
1545,-133.877
1546,-121.35
1547,-120.526
1548,-111.646
1549,-137.196
1550,-126.263
1551,-105.117
1552,-130.419
1553,-119.404
1554,-140.604
1555,-116.262
1556,-126.643
1557,-121.705
1558,-130.868
1559,-127.937
1560,-140.424
1561,-123.167
1562,-127.1
1563,-112.132
1564,-116.89
1565,-132.716
1566,-110.853
1567,-105.345
1568,-117.076
1569,-120.745
1570,-99.186
1571,-137.956
1572,-135.845
1573,-123.031
1574,-120.823
1575,-132.361
1576,-148.735
1577,-136.471
1578,-129.5
1579,-128.744
1580,-127.483
1581,-134.909
1582,-114.076
1583,-140.182
1584,-133.448
1585,-98.096
1586,-125.565
1587,-124.696
1588,-126.771
1589,-121.556
1590,-110.239
1591,-130.295
1592,-120.901
1593,-138.491
1594,-125.003
1595,-131.233
1596,-132.708
1597,-128.926
1598,-118.705
1599,-136.037
1600,-114.456
1601,-106.132
1602,-108.647
1603,-119.772
1604,-104.99
1605,-136.888
1606,-119.335
1607,-127.833
1608,-132.686
1609,-133.855
1610,-141.258
1611,-123.93
1612,-110.067
1613,-122.636
1614,-132.351
1615,-123.266
1616,-121.272
1617,-101.679
1618,-127.146
1619,-138.116
1620,-128.519
1621,-116.544
1622,-132.129
1623,-128.212
1624,-109.206
1625,-121.643
1626,-122.102
1627,-137.752
1628,-114.976
1629,-127.009
1630,-117.348
1631,-100.62
1632,-118.31
1633,-119.939
1634,-123.501
1635,-110.093
1636,-129.046
1637,-110.478
1638,-115.354
1639,-127.477
1640,-115.896
1641,-119.624
1642,-116.229
1643,-115.75
1644,-118.263
1645,-121.303
1646,-131.725
1647,-123.978
1648,-114.731
1649,-129.631
1650,-111.631
1651,-128.694
1652,-132.877
1653,-125.613
1654,-118.652
1655,-115.086
1656,-125.466
1657,-115.775
1658,-111.128
1659,-112.671
1660,-120.356
1661,-134.603
1662,-119.251
1663,-125.267
1664,-127.901
1665,-111.599
1666,-117.406
1667,-134.793
1668,-116.499
1669,-121.598
1670,-107.885
1671,-121.737
1672,-131.981
1673,-115.3
1674,-101.435
1675,-128.651
1676,-125.751
1677,-138.524
1678,-118.586
1679,-110.99
1680,-129.09
1681,-127.878
1682,-114.356
1683,-123.168
1684,-116.548
1685,-133.246
1686,-129.846
1687,-126.023
1688,-124.61
1689,-103.496
1690,-134.587
1691,-132.794
1692,-121.891
1693,-125.011
1694,-117.623
1695,-120.387
1696,-125.563
1697,-119.136
1698,-108.808
1699,-109.349
1700,-128.326
1701,-124.65
1702,-117.916
1703,-134.168
1704,-136.655
1705,-101.581
1706,-133.275
1707,-110.285
1708,-97.797
1709,-112.312
1710,-121.857
1711,-124.558
1712,-127.214
1713,-116.94
1714,-127.183
1715,-108.353
1716,-111.109
1717,-134.03
1718,-128.108
1719,-104.124
1720,-107.964
1721,-123.263
1722,-133.014
1723,-135.377
1724,-127.062
1725,-114.926
1726,-135.993
1727,-133.054
1728,-113.634
1729,-127.28
1730,-118.781
1731,-131.801
1732,-113.431
1733,-138.398
1734,-124.693
1735,-114.029
1736,-120.753
1737,-126.534
1738,-133.481
1739,-128.434
1740,-128.661
1741,-122.328
1742,-116.823
1743,-125.536
1744,-110.906
1745,-129.616
1746,-125.778
1747,-127.969
1748,-124.107
1749,-101.05
1750,-141.983
1751,-131.261
1752,-128.084
1753,-128.157
1754,-113.021
1755,-126.352
1756,-134.882
1757,-123.931
1758,-107.622
1759,-113.875
1760,-128.197
1761,-124.476
1762,-113.061
1763,-116.755
1764,-106.581
1765,-102.616
1766,-108.239
1767,-117.9
1768,-111.812
1769,-119.959
1770,-117.576
1771,-117.397
1772,-121.057
1773,-116.195
1774,-108.666
1775,-127.953
1776,-133.627
1777,-101.061
1778,-106.681
1779,-102.701
1780,-124.927
1781,-114.042
1782,-117.663
1783,-127.762
1784,-111.923
1785,-115.593
1786,-119.284
1787,-135.879
1788,-116.025
1789,-112.507
1790,-111.747
1791,-122.38
1792,-139.21
1793,-102.34
1794,-116.248
1795,-107.325
1796,-104.378
1797,-126.856
1798,-116.899
1799,-116.802
1800,-121.803
1801,-132.35
1802,-114.157
1803,-129.056
1804,-107.241
1805,-147.485
1806,-124.067
1807,-133.364
1808,-118.941
1809,-118.887
1810,-105.786
1811,-121.141
1812,-123.097
1813,-127.75
1814,-127.469
1815,-120.948
1816,-118.161
1817,-119.583
1818,-123.026
1819,-106.799
1820,-122.146
1821,-118.375
1822,-94.639
1823,-104.065
1824,-105.09
1825,-109.619
1826,-125.051
1827,-121.21
1828,-111.833
1829,-120.458
1830,-97.501
1831,-112.708
1832,-120.085
1833,-109.276
1834,-122.993
1835,-137.994
1836,-136.087
1837,-116.646
1838,-110.638
1839,-116.556
1840,-112.331
1841,-111.306
1842,-140.331
1843,-127.576
1844,-102.789
1845,-104.384
1846,-132.33
1847,-101.467
1848,-110.431
1849,-107.328
1850,-111.459
1851,-111.35
1852,-124.108
1853,-132.131
1854,-110.713
1855,-107.293
1856,-111.68
1857,-106.869
1858,-117.342
1859,-119.128
1860,-128.06
1861,-112.835
1862,-116.625
1863,-114.538
1864,-93.515
1865,-113.704
1866,-122.407
1867,-120.332
