FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
86,YES,2.175,YES,1.736,3.502,-6.61,NO,3.726,YES,2.787,72.497,GAUCHE,-155.37,-79.847,-129.131,S214H_dimer_validated_mini00086.yob
87,YES,2.075,YES,1.729,3.095,-6.61,NO,4.062,YES,2.823,71.559,GAUCHE,-147.041,-71.845,-124.735,S214H_dimer_validated_mini00087.yob
88,NO,2.86,YES,1.868,3.559,-6.61,NO,4.346,YES,2.921,82.608,GAUCHE,-142.773,-66.946,-127.985,S214H_dimer_validated_mini00088.yob
89,YES,1.798,YES,1.735,3.339,-6.61,YES,3.295,YES,2.769,64.127,GAUCHE,-136.751,-89.688,-111.017,S214H_dimer_validated_mini00089.yob
90,NO,2.703,YES,1.882,3.785,-6.61,NO,4.123,YES,2.844,68.002,GAUCHE,-134.641,-84.888,-131.728,S214H_dimer_validated_mini00090.yob
91,YES,1.96,YES,1.746,3.5,-6.61,NO,3.992,YES,3.253,99.385,UNDEFINED,-144.015,-76.433,-135.383,S214H_dimer_validated_mini00091.yob
92,NO,2.666,YES,1.877,3.091,-6.61,NO,3.532,YES,2.903,80.439,GAUCHE,-125.572,-71.235,-138.853,S214H_dimer_validated_mini00092.yob
93,YES,1.973,YES,1.835,3.075,-6.61,NO,3.825,YES,2.793,87.635,GAUCHE,-138.209,-84.473,-130.326,S214H_dimer_validated_mini00093.yob
94,YES,1.993,YES,1.786,3.125,-6.61,NO,3.915,YES,2.702,80.607,GAUCHE,-139.205,-81.156,-128.343,S214H_dimer_validated_mini00094.yob
95,NO,2.602,YES,2.073,3.431,-6.61,NO,3.759,YES,2.966,88.178,GAUCHE,-147.325,-64.006,-124.87,S214H_dimer_validated_mini00095.yob
96,NO,3.622,YES,2.007,3.659,-6.61,NO,3.953,NO,3.634,91.351,UNDEFINED,-137.767,-69.633,-118.755,S214H_dimer_validated_mini00096.yob
97,YES,2.333,YES,1.828,3.4,-6.61,NO,4.291,YES,2.83,82.572,GAUCHE,-133.804,-61.423,-126.487,S214H_dimer_validated_mini00097.yob
98,NO,3.598,YES,1.875,3.824,-6.61,NO,4.899,NO,3.296,90.1,UNDEFINED,-166.621,-72.239,-124.7,S214H_dimer_validated_mini00098.yob
99,NO,2.906,YES,1.67,3.707,-6.61,NO,4.85,YES,3.155,71.611,GAUCHE,-156.382,-73.676,-131.737,S214H_dimer_validated_mini00099.yob
100,NO,2.449,YES,1.776,3.564,-6.61,NO,3.998,NO,3.279,78.498,GAUCHE,-144.111,-79.712,-120.786,S214H_dimer_validated_mini00100.yob
101,YES,2.081,YES,1.92,2.975,-6.61,NO,3.523,YES,3.128,76.71,GAUCHE,-144.283,-73.521,-130.221,S214H_dimer_validated_mini00101.yob
102,YES,2.219,YES,1.801,3.404,-6.61,NO,3.73,NO,3.547,79.061,GAUCHE,-139.224,-73.757,-114.138,S214H_dimer_validated_mini00102.yob
103,NO,2.763,YES,1.848,3.888,-6.61,NO,4.773,NO,2.959,88.715,GAUCHE,-159.52,-68.037,-136.6,S214H_dimer_validated_mini00103.yob
104,YES,2.059,YES,1.836,3.061,-6.61,NO,3.654,YES,3.006,67.009,GAUCHE,-141.372,-69.748,-136.998,S214H_dimer_validated_mini00104.yob
