FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
139,NO,2.672,YES,1.704,3.811,-5.35,NO,4.449,NO,3.182,77.173,GAUCHE,-136.486,-84.096,-127.288,DuraPETase_dimer_validated_mini00139.yob
140,YES,2.192,YES,1.928,3.721,-5.35,NO,4.136,NO,2.768,61.567,GAUCHE,-116.094,-82.782,-133.758,DuraPETase_dimer_validated_mini00140.yob
141,YES,1.939,YES,1.781,3.719,-5.35,NO,4.466,NO,3.166,65.324,GAUCHE,-114.974,-90.357,-127.157,DuraPETase_dimer_validated_mini00141.yob
142,YES,2.254,YES,1.784,3.225,-5.35,NO,4.121,YES,3.067,67.459,GAUCHE,-128.68,-64.258,-116.971,DuraPETase_dimer_validated_mini00142.yob
143,NO,2.5,YES,1.733,3.217,-5.35,NO,3.664,YES,2.911,64.243,GAUCHE,-116.792,-81.432,-141.838,DuraPETase_dimer_validated_mini00143.yob
144,YES,1.988,YES,1.848,3.372,-5.35,NO,3.742,YES,2.904,67.479,GAUCHE,-114.419,-73.477,-126.401,DuraPETase_dimer_validated_mini00144.yob
145,YES,2.23,YES,1.939,2.98,-5.35,YES,3.381,YES,2.726,51.848,GAUCHE,-101.399,-72.593,-140.562,DuraPETase_dimer_validated_mini00145.yob
146,YES,2.145,YES,1.762,3.216,-5.35,NO,3.758,YES,2.897,45.527,UNDEFINED,-95.656,-68.021,-140.893,DuraPETase_dimer_validated_mini00146.yob
147,NO,3.075,YES,1.787,3.649,-5.35,NO,4.803,YES,3.095,39.232,UNDEFINED,-117.566,-69.419,-130.537,DuraPETase_dimer_validated_mini00147.yob
148,NO,3.778,YES,1.838,4.011,-5.35,NO,5.062,NO,3.328,71.025,GAUCHE,-143.686,-83.208,-127.142,DuraPETase_dimer_validated_mini00148.yob
149,NO,3.462,YES,1.717,4.025,-5.35,NO,5.288,NO,3.657,36.423,UNDEFINED,-119.227,-78.087,-126.145,DuraPETase_dimer_validated_mini00149.yob
150,NO,2.979,YES,1.796,3.796,-5.35,NO,4.684,NO,3.181,51.916,GAUCHE,-133.366,-74.755,-132.873,DuraPETase_dimer_validated_mini00150.yob
151,YES,2.24,YES,1.688,3.683,-5.35,NO,4.872,YES,3.067,58.492,GAUCHE,-117.483,-77.658,-126.968,DuraPETase_dimer_validated_mini00151.yob
152,NO,2.975,YES,1.869,3.644,-5.35,NO,4.571,NO,3.361,54.897,GAUCHE,-113.212,-73.849,-133.517,DuraPETase_dimer_validated_mini00152.yob
