STRUCTURE,DISTANCE_SER,ENERGY,MET,DISTANCE_MET,TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,VARIANT,TEMPERATURE,DOCKING
resultsDocking_DuraPETase_303_C176-f5726-s17_PET_dimer_002_mini.yob,2.909,-6.482,YES,3.146,YES,2.832,26.021,undefined,DuraPETase,303,002
resultsDocking_TSPETase_315_C184-f5895-s18_PET_dimer_008_mini.yob,2.909,-5.094,YES,3.165,YES,2.829,37.936,undefined,TSPETase,315,008
resultsDocking_DuraPETase_303_C52-f935-s71_PET_dimer_001_mini.yob,2.909,-5.765,NO,5.397,NO,7.108,15.581,undefined,DuraPETase,303,001
resultsDocking_TSPETase_303_C290-f7230-s27_PET_dimer_013_mini.yob,2.909,-4.845,YES,2.922,YES,2.784,30.786,undefined,TSPETase,303,013
resultsDocking_TSPETase_303_C105-f6036-s35_PET_dimer_016_mini.yob,2.909,-6.075,YES,3.123,YES,2.816,28.967,undefined,TSPETase,303,016
resultsDocking_DuraPETase_303_C124-f4713-s37_PET_dimer_003_mini.yob,2.91,-6.105,YES,3.118,YES,2.833,46.953,undefined,DuraPETase,303,003
resultsDocking_DuraPETase_303_C225-f3247-s25_PET_dimer_004_mini.yob,2.91,-5.014,YES,3.264,YES,2.828,45.591,undefined,DuraPETase,303,004
resultsDocking_DuraPETase_303_C143-f2685-s45_PET_dimer_006_mini.yob,2.91,-5.424,NO,3.516,YES,2.929,10.616,undefined,DuraPETase,303,006
resultsDocking_S214H_303_C208-f3684-s59_PET_dimer_003_mini.yob,2.91,-6.815,NO,3.685,YES,2.828,35.034,undefined,S214H,303,003
resultsDocking_TSPETase_303_C72-f7309-s18_PET_dimer_004_mini.yob,2.91,-4.849,YES,2.937,YES,2.801,21.567,undefined,TSPETase,303,004
resultsDocking_S214H_315_C288-f7603-s31_PET_dimer_002_mini.yob,2.91,-5.939,YES,3.417,YES,2.879,33.253,undefined,S214H,315,002
resultsDocking_S214H_303_C208-f3684-s59_PET_dimer_005_mini.yob,2.911,-6.795,YES,2.979,YES,2.838,68.29,gauche,S214H,303,005
resultsDocking_DuraPETase_303_C72-f1419-s37_PET_dimer_006_mini.yob,2.911,-5.011,NO,4.359,NO,3.608,9.515,undefined,DuraPETase,303,006
resultsDocking_TSPETase_315_C164-f2304-s19_PET_dimer_010_mini.yob,2.911,-5.583,YES,2.922,YES,2.886,53.823,gauche,TSPETase,315,010
resultsDocking_TSPETase_303_C139-f8977-s30_PET_dimer_001_mini.yob,2.911,-5.853,YES,3.086,YES,2.822,31.221,undefined,TSPETase,303,001
resultsDocking_DuraPETase_315_C47-f669-s57_PET_dimer_008_mini.yob,2.912,-5.167,YES,3.187,YES,2.89,44.155,undefined,DuraPETase,315,008
resultsDocking_DuraPETase_303_C131-f7083-s35_PET_dimer_011_mini.yob,2.912,-6.408,YES,2.861,YES,2.85,59.796,gauche,DuraPETase,303,011
resultsDocking_DuraPETase_303_C124-f4713-s37_PET_dimer_005_mini.yob,2.912,-6.018,YES,3.086,YES,2.823,36.232,undefined,DuraPETase,303,005
resultsDocking_DuraPETase_303_C125-f4345-s22_PET_dimer_013_mini.yob,2.912,-5.05,YES,3.216,YES,2.859,34.872,undefined,DuraPETase,303,013
resultsDocking_DuraPETase_303_C115-f4794-s61_PET_dimer_009_mini.yob,2.913,-6.571,YES,3.125,YES,2.798,25.248,undefined,DuraPETase,303,009
resultsDocking_DuraPETase_315_C50-f328-s34_PET_dimer_013_mini.yob,2.913,-5.266,YES,3.134,YES,2.943,45.93,undefined,DuraPETase,315,013
resultsDocking_DuraPETase_303_C14-f156-s24_PET_dimer_006_mini.yob,2.913,-5.301,YES,3.358,YES,2.84,47.587,undefined,DuraPETase,303,006
resultsDocking_TSPETase_315_C179-f4830-s30_PET_dimer_006_mini.yob,2.913,-5.143,NO,3.675,YES,2.818,36.914,undefined,TSPETase,315,006
resultsDocking_TSPETase_315_C121-f352-s15_PET_dimer_017_mini.yob,2.913,-6.11,YES,2.92,YES,2.811,24.141,undefined,TSPETase,315,017
resultsDocking_S214H_303_C25-f4852-s37_PET_dimer_002_mini.yob,2.913,-6.263,NO,3.615,YES,2.839,42.464,undefined,S214H,303,002
resultsDocking_TSPETase_303_C105-f6036-s35_PET_dimer_007_mini.yob,2.914,-6.232,YES,3.081,YES,2.832,16.522,undefined,TSPETase,303,007
resultsDocking_DuraPETase_303_C145-f4499-s54_PET_dimer_008_mini.yob,2.915,-6.749,YES,3.182,YES,2.9,36.733,undefined,DuraPETase,303,008
resultsDocking_DuraPETase_303_C157-f6716-s32_PET_dimer_006_mini.yob,2.915,-5.113,NO,3.582,YES,2.844,31.45,undefined,DuraPETase,303,006
resultsDocking_DuraPETase_303_C66-f6008-s31_PET_dimer_001_mini.yob,2.915,-5.608,YES,2.995,YES,2.891,39.792,undefined,DuraPETase,303,001
resultsDocking_S214H_315_C92-f3016-s44_PET_dimer_007_mini.yob,2.915,-5.02,YES,3.086,YES,2.86,27.779,undefined,S214H,315,007
resultsDocking_DuraPETase_303_C225-f3247-s25_PET_dimer_010_mini.yob,2.915,-4.865,YES,3.448,YES,2.854,39.53,undefined,DuraPETase,303,010
resultsDocking_WT_303_C211-f2026-s28_PET_dimer_001_mini.yob,2.915,-6.304,YES,3.048,YES,2.82,100.452,undefined,WT,303,001
resultsDocking_DuraPETase_303_C30-f1282-s36_PET_dimer_015_mini.yob,2.916,-4.727,YES,3.32,YES,2.892,9.65,undefined,DuraPETase,303,015
resultsDocking_DuraPETase_315_C31-f1596-s15_PET_dimer_015_mini.yob,2.916,-4.711,YES,2.988,YES,2.84,35.311,undefined,DuraPETase,315,015
resultsDocking_DuraPETase_303_C254-f3345-s6_PET_dimer_008_mini.yob,2.916,-4.972,NO,3.523,YES,2.973,6.648,undefined,DuraPETase,303,008
resultsDocking_S214H_303_C208-f3684-s59_PET_dimer_002_mini.yob,2.916,-6.823,NO,3.867,YES,2.877,37.573,undefined,S214H,303,002
resultsDocking_DuraPETase_315_C59-f405-s33_PET_dimer_004_mini.yob,2.916,-5.137,YES,3.085,YES,2.818,41.166,undefined,DuraPETase,315,004
resultsDocking_TSPETase_303_C382-f6837-s13_PET_dimer_001_mini.yob,2.916,-5.716,NO,4.067,YES,2.9,4.012,undefined,TSPETase,303,001
resultsDocking_DuraPETase_303_C13-f310-s46_PET_dimer_014_mini.yob,2.916,-5.108,YES,3.117,YES,2.943,41.065,undefined,DuraPETase,303,014
resultsDocking_DuraPETase_303_C192-f871-s47_PET_dimer_007_mini.yob,2.917,-6.864,YES,3.186,YES,2.909,41.296,undefined,DuraPETase,303,007
resultsDocking_DuraPETase_303_C128-f1355-s31_PET_dimer_006_mini.yob,2.917,-4.975,NO,3.465,YES,2.934,30.205,undefined,DuraPETase,303,006
resultsDocking_DuraPETase_303_C48-f52-s14_PET_dimer_010_mini.yob,2.917,-5.385,YES,3.083,YES,2.801,38.725,undefined,DuraPETase,303,010
resultsDocking_S214H_303_C220-f3454-s20_PET_dimer_008_mini.yob,2.917,-6.017,YES,3.143,YES,2.879,43.332,undefined,S214H,303,008
resultsDocking_TSPETase_315_C181-f2347-s20_PET_dimer_014_mini.yob,2.917,-4.915,NO,3.46,YES,2.944,33.496,undefined,TSPETase,315,014
resultsDocking_S214H_315_C288-f7603-s31_PET_dimer_001_mini.yob,2.917,-6.123,YES,3.17,YES,2.783,32.66,undefined,S214H,315,001
resultsDocking_DuraPETase_303_C112-f4710-s19_PET_dimer_005_mini.yob,2.917,-5.427,YES,3.193,YES,2.921,37.347,undefined,DuraPETase,303,005
resultsDocking_WT_303_C290-f3876-s18_PET_dimer_011_mini.yob,2.918,-6.495,YES,3.087,YES,2.962,39.414,undefined,WT,303,011
resultsDocking_TSPETase_315_C149-f5317-s19_PET_dimer_006_mini.yob,2.918,-6.294,YES,2.95,YES,2.823,53.405,gauche,TSPETase,315,006
resultsDocking_DuraPETase_303_C189-f1743-s19_PET_dimer_009_mini.yob,2.918,-5.784,YES,3.172,YES,2.917,37.65,undefined,DuraPETase,303,009
resultsDocking_DuraPETase_315_C71-f336-s25_PET_dimer_018_mini.yob,2.919,-4.577,YES,3.272,YES,3.149,41.152,undefined,DuraPETase,315,018
resultsDocking_WT_303_C392-f4192-s28_PET_dimer_005_mini.yob,2.919,-5.864,YES,3.136,YES,2.849,27.939,undefined,WT,303,005
resultsDocking_DuraPETase_303_C254-f3345-s6_PET_dimer_004_mini.yob,2.919,-5.111,NO,3.587,YES,2.917,9.23,undefined,DuraPETase,303,004
resultsDocking_DuraPETase_303_C216-f4734-s32_PET_dimer_011_mini.yob,2.919,-5.406,YES,3.282,YES,2.877,21.857,undefined,DuraPETase,303,011
resultsDocking_DuraPETase_303_C135-f3369-s65_PET_dimer_004_mini.yob,2.919,-5.366,YES,3.185,YES,2.837,38.07,undefined,DuraPETase,303,004
resultsDocking_TSPETase_303_C263-f5955-s49_PET_dimer_010_mini.yob,2.919,-5.9,YES,2.859,YES,2.88,60.272,gauche,TSPETase,303,010
resultsDocking_DuraPETase_303_C159-f2228-s21_PET_dimer_007_mini.yob,2.92,-5.8,YES,3.078,YES,2.925,98.869,undefined,DuraPETase,303,007
resultsDocking_DuraPETase_303_C128-f1355-s31_PET_dimer_013_mini.yob,2.92,-4.735,NO,3.524,YES,2.871,29.969,undefined,DuraPETase,303,013
resultsDocking_WT_303_C236-f4111-s28_PET_dimer_002_mini.yob,2.92,-5.317,YES,3.014,YES,2.908,157.995,trans,WT,303,002
resultsDocking_DuraPETase_315_C68-f413-s12_PET_dimer_003_mini.yob,2.92,-5.776,YES,3.104,YES,2.899,15.911,undefined,DuraPETase,315,003
resultsDocking_DuraPETase_303_C126-f1616-s49_PET_dimer_009_mini.yob,2.92,-6.539,YES,3.218,YES,2.849,42.342,undefined,DuraPETase,303,009
resultsDocking_TSPETase_315_C95-f2441-s25_PET_dimer_013_mini.yob,2.92,-6.25,YES,3.045,YES,2.876,39.416,undefined,TSPETase,315,013
resultsDocking_DuraPETase_303_C133-f732-s16_PET_dimer_013_mini.yob,2.92,-4.813,YES,3.113,YES,2.808,25.69,undefined,DuraPETase,303,013
resultsDocking_TSPETase_303_C123-f9081-s45_PET_dimer_011_mini.yob,2.921,-4.584,YES,2.969,YES,2.8,70.659,gauche,TSPETase,303,011
resultsDocking_DuraPETase_315_C31-f1596-s15_PET_dimer_004_mini.yob,2.921,-5.248,YES,3.136,YES,2.805,40.456,undefined,DuraPETase,315,004
