FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
103,YES,2.105,YES,1.827,3.523,-5.44,NO,4.544,YES,2.883,58.55,GAUCHE,-144.095,-80.067,-120.322,WT_Dimer_validated_mini00103.yob
104,NO,3.431,YES,1.841,3.825,-5.44,NO,5.161,NO,3.994,64.092,GAUCHE,-147.282,-73.879,-112.443,WT_Dimer_validated_mini00104.yob
105,YES,2.246,NO,1.738,3.399,-5.44,NO,4.123,YES,2.846,43.949,UNDEFINED,-161.053,-84.923,-123.399,WT_Dimer_validated_mini00105.yob
106,YES,2.185,NO,1.892,3.497,-5.44,NO,4.393,YES,2.87,64.985,GAUCHE,-150.852,-84.187,-129.618,WT_Dimer_validated_mini00106.yob
107,NO,3.609,YES,2.131,3.574,-5.44,NO,4.753,NO,3.388,43.067,UNDEFINED,-149.305,-67.904,-96.999,WT_Dimer_validated_mini00107.yob
108,YES,2.284,YES,1.905,3.798,-5.44,NO,4.921,YES,3.004,27.811,UNDEFINED,-154.05,-72.504,-109.168,WT_Dimer_validated_mini00108.yob
109,YES,2.096,YES,1.653,3.435,-5.44,NO,4.416,NO,3.194,38.538,UNDEFINED,-157.836,-90.435,-129.258,WT_Dimer_validated_mini00109.yob
110,YES,1.882,YES,1.712,3.703,-5.44,NO,4.848,YES,2.72,39.648,UNDEFINED,-145.888,-75.173,-125.019,WT_Dimer_validated_mini00110.yob
111,NO,3.115,YES,1.923,3.835,-5.44,NO,5.514,NO,3.449,20.601,UNDEFINED,-144.834,-80.746,-126.348,WT_Dimer_validated_mini00111.yob
112,NO,3.67,YES,1.75,3.693,-5.44,NO,5.181,YES,3.135,38.699,UNDEFINED,-150.674,-78.839,-122.049,WT_Dimer_validated_mini00112.yob
113,YES,2.111,YES,1.857,3.668,-5.44,NO,4.769,YES,2.823,53.98,GAUCHE,-153.46,-83.55,-137.906,WT_Dimer_validated_mini00113.yob
114,YES,2.147,YES,1.879,3.263,-5.44,NO,4.026,YES,2.908,19.498,UNDEFINED,-140.076,-75.432,-137.529,WT_Dimer_validated_mini00114.yob
115,YES,2.257,NO,2.284,3.491,-5.44,NO,4.581,YES,2.791,32.223,UNDEFINED,-158.19,-70.133,-126.1,WT_Dimer_validated_mini00115.yob
116,YES,2.154,YES,1.717,3.911,-5.44,NO,4.694,YES,2.711,48.948,UNDEFINED,-138.479,-78.923,-126.555,WT_Dimer_validated_mini00116.yob
117,YES,1.956,YES,1.839,3.182,-5.44,NO,4.067,NO,3.0,25.313,UNDEFINED,-155.246,-78.05,-117.504,WT_Dimer_validated_mini00117.yob
118,YES,1.869,YES,1.681,3.517,-5.44,NO,4.214,YES,2.915,37.365,UNDEFINED,-147.776,-81.309,-109.746,WT_Dimer_validated_mini00118.yob
119,YES,1.851,NO,1.895,3.474,-5.44,NO,3.883,YES,2.77,34.725,UNDEFINED,-156.845,-73.203,-130.49,WT_Dimer_validated_mini00119.yob
